id,date,region,sales,category,profit,cout,quantite,marge,discount,score,satisfaction,timestamp
1,2024-05-01,Europe,1200,A,320,880,15,0.27,5,78,4.2,2024-05-01T00:00:00Z
2,2024-05-02,Asie,900,B,210,690,10,0.23,10,65,3.8,2024-05-02T00:00:00Z
3,2024-05-03,Amérique,1500,A,400,1100,18,0.27,0,82,4.5,2024-05-03T00:00:00Z
4,2024-05-04,Europe,1100,C,300,800,12,0.27,7,75,4.1,2024-05-04T00:00:00Z
5,2024-05-05,Asie,950,A,250,700,14,0.26,6,70,4.0,2024-05-05T00:00:00Z
6,2024-05-06,Amérique,1600,B,450,1150,20,0.28,3,85,4.7,2024-05-06T00:00:00Z
7,2024-05-07,Europe,1300,A,350,950,16,0.27,4,80,4.4,2024-05-07T00:00:00Z
8,2024-05-08,Asie,980,C,260,720,13,0.27,8,72,3.9,2024-05-08T00:00:00Z
9,2024-05-09,Amérique,1700,A,480,1220,22,0.28,2,88,4.8,2024-05-09T00:00:00Z
10,2024-05-10,Europe,1250,B,330,920,17,0.26,6,77,4.3,2024-05-10T00:00:00Z
11,2024-05-11,Asie,1000,A,270,730,15,0.27,5,75,4.1,2024-05-11T00:00:00Z
12,2024-05-12,Amérique,1550,C,420,1130,19,0.27,1,83,4.6,2024-05-12T00:00:00Z
13,2024-05-13,Europe,1400,A,370,1030,18,0.26,4,79,4.5,2024-05-13T00:00:00Z
14,2024-05-14,Asie,970,B,250,720,14,0.26,9,68,3.7,2024-05-14T00:00:00Z
15,2024-05-15,Amérique,1650,A,460,1190,21,0.28,2,87,4.9,2024-05-15T00:00:00Z
16,2024-05-16,Europe,1200,C,320,880,15,0.27,5,78,4.2,2024-05-16T00:00:00Z
17,2024-05-17,Asie,920,A,230,690,11,0.25,10,66,3.8,2024-05-17T00:00:00Z
18,2024-05-18,Amérique,1580,B,420,1160,19,0.27,3,84,4.6,2024-05-18T00:00:00Z
19,2024-05-19,Europe,1350,A,360,990,17,0.27,4,81,4.4,2024-05-19T00:00:00Z
20,2024-05-20,Asie,990,C,260,730,13,0.26,8,72,3.9,2024-05-20T00:00:00Z
21,2024-05-21,Amérique,1720,A,480,1240,23,0.28,2,89,4.9,2024-05-21T00:00:00Z
22,2024-05-22,Europe,1270,B,340,930,18,0.27,6,76,4.3,2024-05-22T00:00:00Z
23,2024-05-23,Asie,1010,A,270,740,15,0.27,5,74,4.0,2024-05-23T00:00:00Z
24,2024-05-24,Amérique,1590,C,430,1160,20,0.27,1,86,4.8,2024-05-24T00:00:00Z
25,2024-05-25,Europe,1420,A,380,1040,19,0.27,3,82,4.5,2024-05-25T00:00:00Z
26,2024-05-26,Asie,960,B,250,710,14,0.26,9,69,3.7,2024-05-26T00:00:00Z
27,2024-05-27,Amérique,1680,A,470,1210,22,0.28,2,90,4.9,2024-05-27T00:00:00Z
28,2024-05-28,Europe,1210,C,320,890,15,0.27,5,78,4.2,2024-05-28T00:00:00Z
29,2024-05-29,Asie,930,A,240,690,12,0.26,10,67,3.8,2024-05-29T00:00:00Z
30,2024-05-30,Amérique,1570,B,420,1150,19,0.27,3,85,4.7,2024-05-30T00:00:00Z
31,2024-05-31,Europe,1330,A,360,970,17,0.27,4,81,4.4,2024-05-31T00:00:00Z
32,2024-06-01,Asie,950,C,240,710,12,0.26,9,66,3.7,2024-06-01T00:00:00Z
33,2024-06-02,Amérique,1750,A,490,1260,24,0.28,2,91,5.0,2024-06-02T00:00:00Z
34,2024-06-03,Europe,1260,B,340,920,18,0.27,6,76,4.3,2024-06-03T00:00:00Z
35,2024-06-04,Asie,1020,A,270,750,15,0.26,8,71,3.9,2024-06-04T00:00:00Z
36,2024-06-05,Amérique,1540,C,410,1130,19,0.27,1,84,4.6,2024-06-05T00:00:00Z
37,2024-06-06,Europe,1450,A,390,1060,20,0.27,3,82,4.5,2024-06-06T00:00:00Z
38,2024-06-07,Asie,980,B,260,720,13,0.27,9,72,3.9,2024-06-07T00:00:00Z
39,2024-06-08,Amérique,1620,A,440,1180,21,0.28,2,86,4.8,2024-06-08T00:00:00Z
40,2024-06-09,Europe,1230,C,330,900,16,0.27,5,79,4.4,2024-06-09T00:00:00Z
41,2024-06-10,Asie,940,A,240,700,12,0.26,10,67,3.8,2024-06-10T00:00:00Z
42,2024-06-11,Amérique,1530,B,410,1120,19,0.27,1,83,4.6,2024-06-11T00:00:00Z
43,2024-06-12,Europe,1370,A,370,1000,18,0.27,4,80,4.5,2024-06-12T00:00:00Z
44,2024-06-13,Asie,970,C,260,710,13,0.27,8,72,3.9,2024-06-13T00:00:00Z
45,2024-06-14,Amérique,1690,A,460,1230,23,0.28,2,88,4.9,2024-06-14T00:00:00Z
46,2024-06-15,Europe,1290,B,350,940,18,0.27,6,76,4.3,2024-06-15T00:00:00Z
47,2024-06-16,Asie,1005,A,270,735,15,0.27,5,74,4.0,2024-06-16T00:00:00Z
48,2024-06-17,Amérique,1510,C,410,1100,19,0.27,1,83,4.6,2024-06-17T00:00:00Z
49,2024-06-18,Europe,1430,A,390,1040,20,0.27,3,81,4.5,2024-06-18T00:00:00Z
50,2024-06-19,Asie,990,B,260,730,13,0.27,9,70,3.8,2024-06-19T00:00:00Z
